HUD frame time nsec:,13888000

Range Index,Elapsed Time, First Event,Last Event
0,29056,4,4
1,6080,39,39
2,3872,63,63
3,4288,87,87
4,4320,111,111
5,3744,135,135
6,3520,159,159
7,3520,183,183
8,3072,207,207
9,6912,231,231
10,4416,255,255
11,5440,279,279
12,4544,303,303
13,4192,327,327
14,4192,351,351
15,4192,375,375
16,3712,399,399
17,4192,423,423
18,4224,447,447
19,4192,471,471
20,5088,495,495
21,4192,519,519
22,5216,543,543
23,5440,567,567
24,5728,591,591
25,4704,615,615
26,4864,639,639
27,4000,663,663
28,5216,687,687
29,4832,711,711
30,4640,735,735
31,4704,759,759
32,5344,783,783
33,133568,807,807
34,5024,831,831
35,4704,855,855
36,8256,879,879
37,8608,903,903
38,9184,927,927
39,15328,951,951
40,16160,975,975
41,10656,999,999
42,8672,1023,1023
43,8160,1047,1047
44,20832,1071,1071
45,4160,1095,1095
46,4416,1119,1119
47,3808,1143,1143
48,3808,1167,1167
49,3776,1191,1191
50,5088,1215,1215
51,4064,1239,1239
52,4320,1263,1263
53,3808,1287,1287
54,3296,1311,1311
55,4160,1335,1335
56,7040,1359,1359
57,5536,1383,1383
58,5056,1407,1407
59,3392,1431,1431
60,3392,1455,1455
61,3392,1479,1479
62,3392,1503,1503
63,7520,1527,1527
64,7072,1551,1551
65,7008,1575,1575
66,6592,1599,1599
67,5248,1623,1623
68,5344,1647,1647
69,5152,1671,1671
70,7104,1695,1695
71,5600,1719,1719
72,6368,1743,1743
73,6784,1767,1767
74,5664,1791,1791
75,5632,1815,1815
76,5664,1839,1839
77,5664,1863,1863
78,5696,1887,1887
79,5632,1911,1911
80,5984,1935,1935
81,5184,1959,1959
82,12576,1983,1983
83,195584,2007,2007
84,127712,2031,2031
85,5984,2070,2070
86,4448,2094,2094
87,4416,2118,2118
88,4480,2142,2142
89,4128,2166,2166
90,3872,2190,2190
91,3808,2214,2214
92,3776,2238,2238
93,7488,2262,2262
94,4576,2286,2286
95,15840,2310,2310
96,4768,2334,2334
97,4416,2358,2358
98,4416,2382,2382
99,4416,2406,2406
100,4416,2430,2430
101,4384,2454,2454
102,4416,2478,2478
103,4448,2502,2502
104,4992,2526,2526
105,4544,2550,2550
106,15872,2574,2574
107,19232,2598,2598
108,15680,2622,2622
109,11648,2646,2646
110,12768,2670,2670
111,10592,2694,2694
112,15584,2718,2718
113,12256,2742,2742
114,10880,2766,2766
115,10624,2790,2790
116,5184,2814,2814
117,787680,2838,2838
118,6080,2862,2862
119,5216,2886,2886
120,18400,2910,2910
121,20928,2934,2934
122,28704,2958,2958
123,63168,2982,2982
124,63936,3006,3006
125,34048,3030,3030
126,23232,3054,3054
127,18432,3078,3078
128,39552,3102,3102
129,4544,3126,3126
130,10560,3150,3150
131,3712,3174,3174
132,4064,3198,3198
133,4064,3222,3222
134,11200,3246,3246
135,10176,3270,3270
136,10880,3294,3294
137,4064,3318,3318
138,4064,3342,3342
139,4896,3366,3366
140,7552,3390,3390
141,5856,3414,3414
142,5856,3438,3438
143,3744,3462,3462
144,3648,3486,3486
145,3744,3510,3510
146,3712,3534,3534
147,6272,3558,3558
148,6048,3582,3582
149,6112,3606,3606
150,6144,3630,3630
151,5216,3654,3654
152,5056,3678,3678
153,4864,3702,3702
154,6208,3726,3726
155,6240,3750,3750
156,12800,3774,3774
157,12640,3798,3798
158,6144,3822,3822
159,6176,3846,3846
160,6112,3870,3870
161,6272,3894,3894
162,6208,3918,3918
163,6240,3942,3942
164,6368,3966,3966
165,5568,3990,3990
166,12896,4014,4014
167,195968,4038,4038
168,127424,4062,4062
169,722432,4064,4064
